class,rank,status,bib,country,name,time_seconds,confidence,source_file
W16,1,OK,,RUS,Ekaterina Terekhova,1964,high,2002/eyoc2002.htm
W16,2,OK,,SUI,Sara Luescher,1985,high,2002/eyoc2002.htm
W16,3,OK,,CZE,Martina Kynclova,2049,high,2002/eyoc2002.htm
W16,4,OK,,LTU,Rasa Ptasekaite,2053,high,2002/eyoc2002.htm
W16,5,OK,,FRA,Amelie Chataing,2081,high,2002/eyoc2002.htm
W16,6,OK,,UKR,Maryana Kytsman,2140,high,2002/eyoc2002.htm
W16,9,OK,,HUN,Katalin Tas,2254,high,2002/eyoc2002.htm
W16,28,OK,,HUN,Yvett Hrenkó,2562,high,2002/eyoc2002.htm
W16,38,OK,,HUN,Virág Nagy,2813,high,2002/eyoc2002.htm
W16,44,OK,,HUN,Dorottya Péley,2981,high,2002/eyoc2002.htm
W18,1,OK,,CZE,Radka Brozkova,2239,high,2002/eyoc2002.htm
W18,2,OK,,CZE,Kristyna Kovarova,2354,high,2002/eyoc2002.htm
W18,3,OK,,CZE,Lenka Hruskova,2357,high,2002/eyoc2002.htm
W18,4,OK,,POL,Anna Kraj,2364,high,2002/eyoc2002.htm
W18,5,OK,,RUS,Nataliia Zakharova,2383,high,2002/eyoc2002.htm
W18,6,OK,,POL,Dorota Kosiñska,2411,high,2002/eyoc2002.htm
W18,8,OK,,HUN,Adrienn Csiszár,2453,high,2002/eyoc2002.htm
W18,15,OK,,HUN,Száva Zsigmond,2608,high,2002/eyoc2002.htm
W18,35,OK,,HUN,Szilvia Kaszás,3054,high,2002/eyoc2002.htm
W18,36,OK,,HUN,Bernadett Kelemen,3152,high,2002/eyoc2002.htm
M16,1,OK,,CZE,Jan Polasek,1979,high,2002/eyoc2002.htm
M16,2,OK,,RUS,Alexander Leontyev,1996,high,2002/eyoc2002.htm
M16,3,OK,,CZE,Bronislav Pribyl,2027,high,2002/eyoc2002.htm
M16,4,OK,,EST,Markus Pousepp,2039,high,2002/eyoc2002.htm
M16,5,OK,,CZE,Jan Benes,2104,high,2002/eyoc2002.htm
M16,6,OK,,EST,Veiko Kutt,2119,high,2002/eyoc2002.htm
M16,13,OK,,HUN,Zsolt Lenkei,2225,high,2002/eyoc2002.htm
M16,14,OK,,HUN,Mate Kerényi,2233,high,2002/eyoc2002.htm
M16,16,OK,,HUN,Ádám Kovács,2284,high,2002/eyoc2002.htm
M16,27,OK,,HUN,Zoltán Horváth,2397,high,2002/eyoc2002.htm
M18,1,OK,,LTU,Simonas Krepsta,2202,high,2002/eyoc2002.htm
M18,2,OK,,POL,Marek Socha,2254,high,2002/eyoc2002.htm
M18,3,OK,,SUI,Fabian Hertner,2329,high,2002/eyoc2002.htm
M18,4,OK,,LTU,Ruslanas Pogorelovas,2353,high,2002/eyoc2002.htm
M18,4,OK,,POL,Jacek Kowalczyk,2353,high,2002/eyoc2002.htm
M18,6,OK,,HUN,István Zsebeházi,2364,high,2002/eyoc2002.htm
M18,13,OK,,HUN,Péter Gyulai,2502,high,2002/eyoc2002.htm
M18,29,OK,,HUN,Dániel Pelyhe,2699,high,2002/eyoc2002.htm
M18,35,OK,,HUN,Csaba Gösswein,2838,high,2002/eyoc2002.htm
